model,grid_w,grid_h,n_sensors,start_pos_name,start_x,start_y,seed,total_reward,data_collected,ndr_pct,battery_pct,energy_consumed,efficiency,steps,jains_index,min_collection_rate,mean_collection_rate,starved_sensors,trajectory_file
SmartGreedyV2,400,400,10,center,200,200,42,1587533.03,14926.0,100.0,1.96,268.6389,55.5629,1461,0.5528,1.94,46.44,5,SmartGreedyV2_400x400_n10_center_42.npy
SmartGreedyV2,400,400,10,center,200,200,123,2840649.2,26058.0,100.0,1.99,268.5556,97.0319,1384,0.9308,27.71,85.58,0,SmartGreedyV2_400x400_n10_center_123.npy
SmartGreedyV2,400,400,10,center,200,200,456,2547608.59,23642.0,100.0,1.96,268.6389,88.0048,1413,0.865,13.07,76.05,1,SmartGreedyV2_400x400_n10_center_456.npy
SmartGreedyV2,400,400,10,center,200,200,789,2203396.07,20486.0,100.0,1.98,268.5833,76.2737,1417,0.8014,2.0,65.71,1,SmartGreedyV2_400x400_n10_center_789.npy
SmartGreedyV2,400,400,10,center,200,200,1337,2513770.93,23277.0,100.0,1.95,268.6667,86.6395,1394,0.8616,15.28,75.9,1,SmartGreedyV2_400x400_n10_center_1337.npy
SmartGreedyV2,400,400,10,corner_00,0,0,42,1059486.0,11224.0,50.0,1.98,268.5833,41.7885,1409,0.389,0.0,36.21,6,SmartGreedyV2_400x400_n10_corner_00_42.npy
SmartGreedyV2,400,400,10,corner_00,0,0,123,1475876.46,14066.0,90.0,2.0,268.5278,52.3808,1443,0.5577,0.0,44.31,4,SmartGreedyV2_400x400_n10_corner_00_123.npy
SmartGreedyV2,400,400,10,corner_00,0,0,456,1122574.96,11583.0,60.0,1.99,268.5556,43.1322,1414,0.4111,0.0,37.24,6,SmartGreedyV2_400x400_n10_corner_00_456.npy
SmartGreedyV2,400,400,10,corner_00,0,0,789,1272447.88,12747.0,70.0,1.98,268.5833,47.4618,1429,0.4939,0.0,40.55,4,SmartGreedyV2_400x400_n10_corner_00_789.npy
SmartGreedyV2,400,400,10,corner_00,0,0,1337,1646103.21,15296.0,100.0,1.96,268.6389,56.9376,1455,0.6003,0.98,47.78,4,SmartGreedyV2_400x400_n10_corner_00_1337.npy
SmartGreedyV2,400,400,10,corner_0G,0,400,42,942278.25,9880.0,70.0,1.99,268.5556,36.7881,1388,0.3659,0.0,32.35,6,SmartGreedyV2_400x400_n10_corner_0G_42.npy
SmartGreedyV2,400,400,10,corner_0G,0,400,123,1825938.91,17034.0,90.0,1.98,268.5833,63.4228,1463,0.6399,0.0,52.92,3,SmartGreedyV2_400x400_n10_corner_0G_123.npy
